# SSSOM TSV for scenario-forge abstract attack patterns (Batch C: T12/T15/T17)
# Provenance mappings: OWASP origin, LAAF technique, and MITRE ATLAS correspondences
# curie_map:
#   scenario-forge: https://github.com/hjrnunes/scenario-forge/
#   owasp-agentic: https://owasp.org/www-project-agentic-ai-threats/
#   laaf: https://github.com/laaf-ai/laaf/
#   mitre-atlas: https://atlas.mitre.org/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
subject_id	subject_source	predicate_id	object_id	object_source	mapping_justification
AP-T12-01	scenario-forge	skos:exactMatch	T12-S1	owasp-agentic	semapv:ManualMappingCuration
AP-T12-01	scenario-forge	skos:relatedMatch	M8	laaf	semapv:ManualMappingCuration
AP-T12-01	scenario-forge	skos:relatedMatch	L4	laaf	semapv:ManualMappingCuration
AP-T12-01	scenario-forge	skos:relatedMatch	AML.T0043	mitre-atlas	semapv:ManualMappingCuration
AP-T12-01	scenario-forge	skos:relatedMatch	AML.T0031	mitre-atlas	semapv:ManualMappingCuration
AP-T12-02	scenario-forge	skos:exactMatch	T12-S2	owasp-agentic	semapv:ManualMappingCuration
AP-T12-02	scenario-forge	skos:relatedMatch	M2	laaf	semapv:ManualMappingCuration
AP-T12-02	scenario-forge	skos:relatedMatch	T8	laaf	semapv:ManualMappingCuration
AP-T12-02	scenario-forge	skos:relatedMatch	AML.T0043	mitre-atlas	semapv:ManualMappingCuration
AP-T12-02	scenario-forge	skos:relatedMatch	AML.T0066	mitre-atlas	semapv:ManualMappingCuration
AP-T12-03	scenario-forge	skos:exactMatch	T12-S3	owasp-agentic	semapv:ManualMappingCuration
AP-T12-03	scenario-forge	skos:relatedMatch	S3	laaf	semapv:ManualMappingCuration
AP-T12-03	scenario-forge	skos:relatedMatch	T8	laaf	semapv:ManualMappingCuration
AP-T12-03	scenario-forge	skos:relatedMatch	AML.T0020	mitre-atlas	semapv:ManualMappingCuration
AP-T12-03	scenario-forge	skos:relatedMatch	AML.T0070	mitre-atlas	semapv:ManualMappingCuration
AP-T12-03	scenario-forge	skos:relatedMatch	AML.T0031	mitre-atlas	semapv:ManualMappingCuration
AP-T12-04	scenario-forge	skos:exactMatch	T12-S4	owasp-agentic	semapv:ManualMappingCuration
AP-T12-04	scenario-forge	skos:relatedMatch	L5	laaf	semapv:ManualMappingCuration
AP-T12-04	scenario-forge	skos:relatedMatch	S8	laaf	semapv:ManualMappingCuration
AP-T12-04	scenario-forge	skos:relatedMatch	AML.T0043	mitre-atlas	semapv:ManualMappingCuration
AP-T12-04	scenario-forge	skos:relatedMatch	AML.T0071	mitre-atlas	semapv:ManualMappingCuration
AP-T12-05	scenario-forge	skos:exactMatch	T12-S5	owasp-agentic	semapv:ManualMappingCuration
AP-T12-05	scenario-forge	skos:relatedMatch	M8	laaf	semapv:ManualMappingCuration
AP-T12-05	scenario-forge	skos:relatedMatch	T3	laaf	semapv:ManualMappingCuration
AP-T12-05	scenario-forge	skos:relatedMatch	AML.T0043	mitre-atlas	semapv:ManualMappingCuration
AP-T12-05	scenario-forge	skos:relatedMatch	AML.T0031	mitre-atlas	semapv:ManualMappingCuration
AP-T15-01	scenario-forge	skos:exactMatch	T15-S1	owasp-agentic	semapv:ManualMappingCuration
AP-T15-01	scenario-forge	skos:relatedMatch	M2	laaf	semapv:ManualMappingCuration
AP-T15-01	scenario-forge	skos:relatedMatch	M5	laaf	semapv:ManualMappingCuration
AP-T15-01	scenario-forge	skos:relatedMatch	AML.T0049	mitre-atlas	semapv:ManualMappingCuration
AP-T15-01	scenario-forge	skos:relatedMatch	AML.T0047	mitre-atlas	semapv:ManualMappingCuration
AP-T15-02	scenario-forge	skos:exactMatch	T15-S2	owasp-agentic	semapv:ManualMappingCuration
AP-T15-02	scenario-forge	skos:relatedMatch	M5	laaf	semapv:ManualMappingCuration
AP-T15-02	scenario-forge	skos:relatedMatch	EX1	laaf	semapv:ManualMappingCuration
AP-T15-02	scenario-forge	skos:relatedMatch	AML.T0049	mitre-atlas	semapv:ManualMappingCuration
AP-T15-02	scenario-forge	skos:relatedMatch	AML.T0060	mitre-atlas	semapv:ManualMappingCuration
AP-T17-01	scenario-forge	skos:exactMatch	T17-S1	owasp-agentic	semapv:ManualMappingCuration
AP-T17-01	scenario-forge	skos:relatedMatch	S8	laaf	semapv:ManualMappingCuration
AP-T17-01	scenario-forge	skos:relatedMatch	L1	laaf	semapv:ManualMappingCuration
AP-T17-01	scenario-forge	skos:relatedMatch	AML.T0010	mitre-atlas	semapv:ManualMappingCuration
AP-T17-01	scenario-forge	skos:relatedMatch	AML.T0048	mitre-atlas	semapv:ManualMappingCuration
AP-T17-02	scenario-forge	skos:exactMatch	T17-S2	owasp-agentic	semapv:ManualMappingCuration
AP-T17-02	scenario-forge	skos:relatedMatch	S1	laaf	semapv:ManualMappingCuration
AP-T17-02	scenario-forge	skos:relatedMatch	T1	laaf	semapv:ManualMappingCuration
AP-T17-02	scenario-forge	skos:relatedMatch	AML.T0010	mitre-atlas	semapv:ManualMappingCuration
AP-T17-02	scenario-forge	skos:relatedMatch	AML.T0048	mitre-atlas	semapv:ManualMappingCuration
AP-T17-02	scenario-forge	skos:relatedMatch	AML.T0056	mitre-atlas	semapv:ManualMappingCuration
